pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	14216	12527	4447	2417	1721	1172	805	1162	752	641	897	1235	25858
car interaction---home	6385	4095	3113	1683	1517	1181	706	77	55	12	26	8	2
car interaction---secondary	5206	1422	430	211	123	42	41	0	5	39	32	0	0
car interaction---work	23758	9428	3687	2686	914	421	390	0	0	51	100	0	0
home---car interaction	19660	13866	11552	6709	4407	4456	1964	744	516	340	476	128	20
home---pt interaction	1293	4498	2834	2646	1640	1218	798	538	347	117	147	24	7
home---secondary	5	32	93	159	163	154	133	139	118	75	61	42	135
home---work	7	43	111	156	236	220	220	171	152	153	86	98	203
pt interaction---home	525	1659	921	978	628	319	319	352	162	60	43	2	2
pt interaction---pt interaction	7888	12012	1375	680	436	360	367	346	398	476	396	576	6206
pt interaction---secondary	1514	1841	833	426	244	210	36	9	9	19	14	0	0
pt interaction---work	1531	2307	1204	876	779	578	131	14	11	11	21	0	0
secondary---car interaction	5206	1422	429	211	123	42	41	0	5	39	32	0	0
secondary---home	5	32	90	157	152	156	133	140	116	78	61	34	126
secondary---pt interaction	1527	1860	808	413	257	227	39	9	9	16	18	0	0
work---car interaction	23758	9428	3687	2686	914	421	390	0	0	51	100	0	0
work---home	7	43	109	160	248	215	217	184	169	162	82	103	190
work---pt interaction	1582	2255	1139	869	870	537	123	14	11	9	21	0	0

average leg duration: 1262.1078173881085 seconds = 00:21:02
