iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;14:25:51;14:25:51;14:25:51;;;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:51;14:25:54;14:25:54;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:02
1;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
2;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;;;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
3;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;;;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:54;14:25:55;14:25:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
4;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
5;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
6;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
7;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
8;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;;;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:55;14:25:56;14:25:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
9;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
10;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
11;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
12;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
