person_id;origin;destination;mode
10000_1;home;work;
10000_1;work;home;
10001_1;home;work;
10001_1;work;home;
10002_1;home;secondary;
10002_1;secondary;home;
10003_1;home;work;
10003_1;work;home;
10004_1;home;work;
10004_1;work;home;
10005_1;home;secondary;
10005_1;secondary;home;
10006_1;home;work;
10006_1;work;home;
10007_1;home;secondary;
10007_1;secondary;home;
10007_2;home;secondary;
10007_2;secondary;home;
10008_1;home;work;
10008_1;work;home;
10008_2;home;work;
10008_2;work;home;
10008_3;home;work;
10008_3;work;home;
10009_1;home;work;
10009_1;work;home;
1000_1;home;work;
1000_1;work;home;
1000_2;home;work;
1000_2;work;home;
10010_1;home;work;
10010_1;work;home;
10010_2;home;work;
10010_2;work;home;
10011_1;home;secondary;
10011_1;secondary;home;
10012_1;home;work;
10012_1;work;home;
10012_2;home;work;
10012_2;work;home;
10013_1;home;secondary;
10013_1;secondary;home;
10013_2;home;work;
10013_2;work;home;
10014_1;home;secondary;
10014_1;secondary;home;
10015_1;home;secondary;
10015_1;secondary;home;
10015_2;home;work;
10015_2;work;home;
10015_3;home;work;
10015_3;work;home;
10015_4;home;secondary;
10015_4;secondary;home;
10016_1;home;work;
10016_1;work;home;
10016_2;home;work;
10016_2;work;home;
10016_3;home;work;
10016_3;work;home;
10017_1;home;secondary;
10017_1;secondary;home;
10018_1;home;secondary;
10018_1;secondary;home;
10018_2;home;work;
10018_2;work;home;
10018_3;home;work;
10018_3;work;home;
10019_1;home;work;
10019_1;work;home;
10019_2;home;work;
10019_2;work;home;
1001_1;home;work;
1001_1;work;home;
1001_2;home;work;
1001_2;work;home;
1001_3;home;work;
1001_3;work;home;
1001_9;home;secondary;
1001_9;secondary;home;
10020_1;home;secondary;
10020_1;secondary;home;
10021_1;home;work;
10021_1;work;home;
10021_2;home;work;
10021_2;work;home;
10022_1;home;secondary;
10022_1;secondary;home;
10023_1;home;secondary;
10023_1;secondary;home;
10023_3;home;work;
10023_3;work;home;
10023_4;home;secondary;
10023_4;secondary;home;
10023_5;home;work;
10023_5;work;home;
10023_6;home;work;
10023_6;work;home;
10023_7;home;secondary;
10023_7;secondary;home;
10024_1;home;secondary;
10024_1;secondary;home;
10025_1;home;secondary;
10025_1;secondary;home;
10026_1;home;work;
10026_1;work;home;
10026_2;home;secondary;
10026_2;secondary;home;
10026_3;home;secondary;
10026_3;secondary;home;
10026_4;home;secondary;
10026_4;secondary;home;
10026_5;home;secondary;
10026_5;secondary;home;
10027_1;home;work;
10027_1;work;home;
10027_2;home;work;
10027_2;work;home;
10028_1;home;work;
10028_1;work;home;
10028_2;home;work;
10028_2;work;home;
10029_1;home;secondary;
10029_1;secondary;home;
1002_1;home;work;
1002_1;work;home;
10030_1;home;secondary;
10030_1;secondary;home;
10031_1;home;secondary;
10031_1;secondary;home;
10032_1;home;secondary;
10032_1;secondary;home;
10032_2;home;secondary;
10032_2;secondary;home;
10033_1;home;work;
10033_1;work;home;
10033_2;home;work;
10033_2;work;home;
10033_3;home;work;
10033_3;work;home;
10033_4;home;work;
10033_4;work;home;
10034_1;home;secondary;
10034_1;secondary;home;
10035_1;home;secondary;
10035_1;secondary;home;
10036_1;home;secondary;
10036_1;secondary;home;
10037_1;home;secondary;
10037_1;secondary;home;
10038_1;home;work;
10038_1;work;home;
10038_2;home;secondary;
10038_2;secondary;home;
10039_1;home;work;
10039_1;work;home;
10039_3;home;work;
10039_3;work;home;
1003_1;home;work;
1003_1;work;home;
1003_2;home;work;
1003_2;work;home;
10040_1;home;work;
10040_1;work;home;
10041_1;home;work;
10041_1;work;home;
10042_1;home;work;
10042_1;work;home;
10042_2;home;work;
10042_2;work;home;
10043_1;home;work;
10043_1;work;home;
10044_1;home;secondary;
10044_1;secondary;home;
10045_1;home;work;
10045_1;work;home;
10045_2;home;work;
10045_2;work;home;
10045_3;home;secondary;
10045_3;secondary;home;
10046_1;home;work;
10046_1;work;home;
10046_2;home;work;
10046_2;work;home;
10047_1;home;work;
10047_1;work;home;
10047_2;home;work;
10047_2;work;home;
10047_3;home;secondary;
10047_3;secondary;home;
10048_1;home;work;
10048_1;work;home;
10048_2;home;secondary;
10048_2;secondary;home;
10048_4;home;secondary;
10048_4;secondary;home;
10049_1;home;secondary;
10049_1;secondary;home;
1004_1;home;work;
1004_1;work;home;
1004_2;home;work;
1004_2;work;home;
10050_1;home;secondary;
10050_1;secondary;home;
10050_5;home;secondary;
10050_5;secondary;home;
10051_1;home;secondary;
10051_1;secondary;home;
10052_1;home;secondary;
10052_1;secondary;home;
10052_4;home;secondary;
10052_4;secondary;home;
10053_1;home;work;
10053_1;work;home;
10053_2;home;work;
10053_2;work;home;
10053_3;home;secondary;
10053_3;secondary;home;
10054_1;home;work;
10054_1;work;home;
10054_2;home;work;
10054_2;work;home;
10055_1;home;work;
10055_1;work;home;
10055_2;home;work;
10055_2;work;home;
10056_1;home;work;
10056_1;work;home;
10056_2;home;work;
10056_2;work;home;
10057_1;home;work;
10057_1;work;home;
10058_1;home;secondary;
10058_1;secondary;home;
10058_2;home;work;
10058_2;work;home;
10058_3;home;work;
10058_3;work;home;
10058_4;home;work;
10058_4;work;home;
10059_1;home;work;
10059_1;work;home;
10059_2;home;work;
10059_2;work;home;
10059_3;home;work;
10059_3;work;home;
1005_1;home;work;
1005_1;work;home;
10060_1;home;work;
10060_1;work;home;
10060_2;home;work;
10060_2;work;home;
10061_1;home;secondary;
10061_1;secondary;home;
10062_1;home;work;
10062_1;work;home;
10062_2;home;work;
10062_2;work;home;
10062_3;home;work;
10062_3;work;home;
10062_4;home;work;
10062_4;work;home;
10063_1;home;work;
10063_1;work;home;
10063_2;home;work;
10063_2;work;home;
10064_1;home;secondary;
10064_1;secondary;home;
10064_3;home;secondary;
10064_3;secondary;home;
10064_4;home;secondary;
10064_4;secondary;home;
10065_1;home;work;
10065_1;work;home;
10065_2;home;secondary;
10065_2;secondary;home;
10066_1;home;work;
10066_1;work;home;
10066_2;home;work;
10066_2;work;home;
10067_1;home;work;
10067_1;work;home;
10067_2;home;work;
10067_2;work;home;
10068_1;home;secondary;
10068_1;secondary;home;
10069_1;home;work;
10069_1;work;home;
10069_2;home;work;
10069_2;work;home;
10069_3;home;work;
10069_3;work;home;
1006_1;home;work;
1006_1;work;home;
1006_2;home;secondary;
1006_2;secondary;home;
10070_1;home;work;
10070_1;work;home;
10070_2;home;work;
10070_2;work;home;
10070_3;home;secondary;
10070_3;secondary;home;
10071_1;home;work;
10071_1;work;home;
10071_2;home;work;
10071_2;work;home;
10071_3;home;work;
10071_3;work;home;
10072_1;home;work;
10072_1;work;home;
10072_2;home;work;
10072_2;work;home;
10073_1;home;work;
10073_1;work;home;
10073_2;home;work;
10073_2;work;home;
10074_1;home;work;
10074_1;work;home;
10074_2;home;work;
10074_2;work;home;
10074_3;home;work;
10074_3;work;home;
10074_4;home;secondary;
10074_4;secondary;home;
10075_1;home;work;
10075_1;work;home;
10076_1;home;work;
10076_1;work;home;
10076_5;home;work;
10076_5;work;home;
10077_1;home;work;
10077_1;work;home;
10078_1;home;work;
10078_1;work;home;
10079_1;home;secondary;
10079_1;secondary;home;
1007_1;home;work;
1007_1;work;home;
1007_2;home;secondary;
1007_2;secondary;home;
10080_1;home;secondary;
10080_1;secondary;home;
10081_1;home;work;
10081_1;work;home;
10081_2;home;work;
10081_2;work;home;
10082_1;home;secondary;
10082_1;secondary;home;
10082_2;home;secondary;
10082_2;secondary;home;
10083_1;home;work;
10083_1;work;home;
10084_1;home;secondary;
10084_1;secondary;home;
10085_1;home;work;
10085_1;work;home;
10085_2;home;work;
10085_2;work;home;
10085_3;home;secondary;
10085_3;secondary;home;
10085_4;home;work;
10085_4;work;home;
10086_1;home;work;
10086_1;work;home;
10086_2;home;work;
10086_2;work;home;
10087_1;home;work;
10087_1;work;home;
10087_2;home;work;
10087_2;work;home;
10088_1;home;work;
10088_1;work;home;
10088_2;home;work;
10088_2;work;home;
10089_1;home;secondary;
10089_1;secondary;home;
1008_1;home;secondary;
1008_1;secondary;home;
10090_1;home;secondary;
10090_1;secondary;home;
10090_2;home;secondary;
10090_2;secondary;home;
10091_1;home;work;
10091_1;work;home;
10091_2;home;work;
10091_2;work;home;
10091_3;home;work;
10091_3;work;home;
10092_1;home;work;
10092_1;work;home;
10092_2;home;work;
10092_2;work;home;
10093_1;home;work;
10093_1;work;home;
10093_2;home;work;
10093_2;work;home;
10093_3;home;secondary;
10093_3;secondary;home;
10093_4;home;work;
10093_4;work;home;
10094_1;home;work;
10094_1;work;home;
10094_2;home;work;
10094_2;work;home;
10095_1;home;work;
10095_1;work;home;
10095_2;home;work;
10095_2;work;home;
10096_1;home;work;
10096_1;work;home;
10096_2;home;secondary;
10096_2;secondary;home;
10097_1;home;work;
10097_1;work;home;
10098_1;home;work;
10098_1;work;home;
10098_2;home;secondary;
10098_2;secondary;home;
10099_1;home;work;
10099_1;work;home;
10099_5;home;work;
10099_5;work;home;
1009_1;home;work;
1009_1;work;home;
1009_2;home;work;
1009_2;work;home;
100_1;home;work;
100_1;work;home;
100_2;home;work;
100_2;work;home;
10100_1;home;work;
10100_1;work;home;
10100_2;home;work;
10100_2;work;home;
10100_3;home;work;
10100_3;work;home;
10101_1;home;secondary;
10101_1;secondary;home;
10102_1;home;secondary;
10102_1;secondary;home;
10103_1;home;work;
10103_1;work;home;
10103_3;home;secondary;
10103_3;secondary;home;
10104_1;home;work;
10104_1;work;home;
10105_1;home;work;
10105_1;work;home;
10105_2;home;work;
10105_2;work;home;
10106_1;home;work;
10106_1;work;home;
10106_2;home;secondary;
10106_2;secondary;home;
10106_3;home;secondary;
10106_3;secondary;home;
10107_1;home;work;
10107_1;work;home;
10108_1;home;secondary;
10108_1;secondary;home;
10109_1;home;work;
10109_1;work;home;
10109_2;home;secondary;
10109_2;secondary;home;
10109_3;home;work;
10109_3;work;home;
1010_1;home;work;
1010_1;work;home;
1010_4;home;work;
1010_4;work;home;
10110_1;home;work;
10110_1;work;home;
10110_2;home;work;
10110_2;work;home;
10111_1;home;work;
10111_1;work;home;
10111_2;home;work;
10111_2;work;home;
10111_3;home;work;
10111_3;work;home;
10112_1;home;work;
10112_1;work;home;
